top - 15:02:04 up  3:06,  1 user,  load average: 0.15, 0.36, 0.58
Tasks: 254 total,   1 running, 252 sleeping,   1 stopped,   0 zombie
%Cpu(s):  4.3 us,  2.9 sy,  0.0 ni, 92.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7882.5 total,    215.0 free,   5098.6 used,   2568.9 buff/cache
MiB Swap:    976.0 total,    963.0 free,     13.0 used.   1976.8 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1054 syslog    20   0  222400   5272   4184 S   0.0   0.1   0:00.60 rsyslogd
   1058 root      20   0 1169944  42336  20360 S   0.0   0.5   0:06.29 snapd
   1059 root      20   0  245024   6700   6172 S   0.0   0.1   0:00.05 switcheroo-cont
   1062 root      20   0   48188   7688   6448 S   0.0   0.1   0:00.68 systemd-logind
   1066 root      20   0  137220   9352   8520 S   0.0   0.1   0:00.96 thermald
   1069 root      20   0  394028  15180  10892 S   0.0   0.2   0:03.68 udisksd
   1070 root      20   0   17760  10676   8644 S   0.0   0.1   0:01.43 wpa_supplicant
   1073 avahi     20   0    7440    336      0 S   0.0   0.0   0:00.00 avahi-daemon
   1080 root      20   0  343384  18912  15788 S   0.0   0.2   0:04.96 NetworkManager
   1102 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/sdb1-8
   1103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
   1135 root      20   0  243380  12092  10156 S   0.0   0.1   0:00.26 ModemManager
   1137 root      20   0   81660  13964  11776 S   0.0   0.2   0:00.04 cupsd
   1138 jenkins   20   0 5797212   2.3g  31356 S   0.0  30.0   3:06.96 java
   1145 root      20   0  126788  22748  14080 S   0.0   0.3   0:00.16 unattended-upgr
   1204 root      20   0   15416   7336   5764 S   0.0   0.1   0:00.02 sshd
   1213 root      20   0  249848   9004   7808 S   0.0   0.1   0:00.06 gdm3
   1216 lp        20   0   16284   5352   4608 S   0.0   0.1   0:00.00 dbus
   1223 root      20   0  326548  10952   9304 S   0.0   0.1   0:00.08 gdm-session-wor
   1230 root      20   0   55208   1656     36 S   0.0   0.0   0:00.00 nginx
   1231 www-data  20   0   55864   5272   3368 S   0.0   0.1   0:00.00 nginx
   1232 www-data  20   0   55864   5272   3368 S   0.0   0.1   0:00.00 nginx
   1233 www-data  20   0   55864   5272   3368 S   0.0   0.1   0:00.00 nginx
   1234 www-data  20   0   55864   5272   3368 S   0.0   0.1   0:00.00 nginx
   1263 dhruv     20   0   18060  10632   7864 S   0.0   0.1   0:02.54 systemd
   1264 dhruv     20   0  170024   4260      0 S   0.0   0.1   0:00.00 (sd-pam)
   1277 mysql     20   0 2184844 403784  33456 S   0.0   5.0   0:38.21 mysqld
   1304 dhruv      9 -11   48220   6576   5268 S   0.0   0.1   0:00.09 pipewire
   1305 dhruv     20   0   32224   6552   5324 S   0.0   0.1   0:00.06 pipewire-media-
   1306 dhruv      9 -11 1957644  30820  22552 S   0.0   0.4   1:09.12 pulseaudio
   1310 dhruv     20   0  397036   7928   7048 S   0.0   0.1   0:00.34 gnome-keyring-d
   1326 dhruv     20   0  171036   6036   5544 S   0.0   0.1   0:00.01 gdm-wayland-ses
   1328 dhruv     20   0   10068   5836   3740 S   0.0   0.1   0:02.35 dbus-daemon
   1329 rtkit     21   1  154000   1532   1312 S   0.0   0.0   0:00.18 rtkit-daemon
   1336 dhruv     20   0  601704  17580  14584 S   0.0   0.2   0:00.52 gnome-session-b
   1339 dhruv     20   0  249284   8280   7316 S   0.0   0.1   0:00.11 gvfsd
   1363 dhruv     20   0  380884   6680   6020 S   0.0   0.1   0:00.02 gvfsd-fuse
   1427 root      20   0  172612  11724  10240 S   0.0   0.1   0:00.09 cups-browsed
   1433 kernoops  20   0   13080    460      0 S   0.0   0.0   0:00.01 kerneloops
   1435 kernoops  20   0   13080    456      0 S   0.0   0.0   0:00.01 kerneloops
   1463 root      20   0   10484   5144   4756 S   0.0   0.1   0:00.18 bluetoothd
   1474 dhruv     39  19  644160  24804  18028 S   0.0   0.3   0:00.99 tracker-miner-f
   1571 dhruv     20   0  398440  10588   8452 S   0.0   0.1   0:00.86 gvfs-udisks2-vo
   1580 dhruv     20   0  246184   6920   6132 S   0.0   0.1   0:00.05 gvfs-gphoto2-vo
   1589 dhruv     20   0  245716   6800   6124 S   0.0   0.1   0:00.07 gvfs-mtp-volume
   1594 dhruv     20   0  323848   8084   7064 S   0.0   0.1   0:00.49 gvfs-afc-volume
   1599 dhruv     20   0  245280   6452   5932 S   0.0   0.1   0:00.04 gvfs-goa-volume
   1603 dhruv     20   0  569884  37696  30608 S   0.0   0.5   0:00.16 goa-daemon
